Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Meeting_Name,Day,Start,End,Type
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Tuesdays,7:15 AM,8:15 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Mondays,7:15 AM,8:15 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Fridays,7:15 AM,8:15 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Thursdays,7:15 AM,8:15 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Wednesdays,7:15 AM,8:15 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Saturdays,8:00 AM,9:00 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Sundays,8:00 AM,9:00 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Wednesdays,8:30 AM,9:30 AM,T
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Tuesdays,8:30 AM,9:30 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Mondays,8:30 AM,9:30 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Fridays,8:30 AM,9:30 AM,S
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Thursdays,8:30 AM,9:30 AM,BB
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Thursdays,10:00 AM,11:00 AM,T
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Wednesdays,10:00 AM,11:00 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Tuesdays,10:00 AM,11:00 AM,S
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Mondays,10:00 AM,11:00 AM,B
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Saturdays,10:00 AM,11:00 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Sundays,10:00 AM,11:00 AM,S
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Fridays,10:00 AM,11:00 AM,BB
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Thursdays,12:30 PM,1:30 PM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Wednesdays,12:30 PM,1:30 PM,S
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Tuesdays,12:30 PM,1:30 PM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Mondays,12:30 PM,1:30 PM,B
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Saturdays,12:30 PM,1:30 PM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Sundays,12:30 PM,1:30 PM,C
